age_bin,sd,correct,n,mean_age,d
"(25.7,27.3]",0.31622776601683794,0.65,10,26.532,0.47434164902525694
"(27.3,29]",0.23935677693908453,0.71875,16,28.08,0.9139076937674137
"(29,30.6]",0.22821773229381923,0.8333333333333334,21,30.16,1.460593486680443
"(30.6,32.3]",0.1911797782254682,0.7894736842105263,19,31.50315789473684,1.5141438435457073
"(32.3,34]",0.21815102402016304,0.7361111111111112,18,33.21333333333333,1.0823286856966032
"(34,35.6]",0.3162277660168379,0.85,10,34.872,1.1067971810589328
"(35.6,37.3]",0.1618201802958708,0.9130434782608695,23,36.50608695652174,2.552484353346189
"(37.3,39]",0.2212653007891959,0.84375,16,37.86,1.5535648778815883
"(39,40.6]",0.18257418583505539,0.8833333333333333,30,39.532,2.0996031371031365
"(40.6,42.3]",0.2320970650806417,0.8809523809523809,21,41.542857142857144,1.6413494105150348
"(42.3,43.9]",0.0951733734533601,0.9583333333333334,24,43.04,4.815772696740024
"(43.9,45.6]",0.19475690905122828,0.8854166666666666,24,44.495000000000005,1.9789627415235256
"(45.6,47.3]",0.17619804662364144,0.8611111111111112,18,46.38666666666666,2.049461489674988
"(47.3,48.9]",0.3073181485764296,0.8,10,47.76,0.9761870601839528
